name_ar,name_en,email,password,class_name
طارق عبد الله,Tareq Abdullah,tareq.a@nour-centre.jo,student123,10A
نور الهدى قاسم,Nour Al-Huda Qasim,nour.q@nour-centre.jo,student123,10A
فيصل العمري,Faisal Al-Omari,faisal.o@nour-centre.jo,student123,10A
ديمة حداد,Dima Haddad,dima.h@nour-centre.jo,student123,10A
حمزة الرواشدة,Hamza Al-Rawashdeh,hamza.r@nour-centre.jo,student123,10A
تالا الزعبي,Tala Al-Zoubi,tala.z@nour-centre.jo,student123,10A
سند الحديد,Sanad Al-Hadid,sanad.h@nour-centre.jo,student123,10B
ريما الكردي,Rima Al-Kurdi,rima.k@nour-centre.jo,student123,10B
باسم شقير,Bassem Shuqair,bassem.s@nour-centre.jo,student123,10B
جود الفايز,Joud Al-Fayez,joud.f@nour-centre.jo,student123,10B
كريم الصايغ,Kareem Al-Sayegh,kareem.s@nour-centre.jo,student123,11A
شهد العدوان,Shahd Al-Adwan,shahd.a@nour-centre.jo,student123,11A
يزن المجالي,Yazan Al-Majali,yazan.m@nour-centre.jo,student123,11A
فرح العساف,Farah Al-Assaf,farah.a@nour-centre.jo,student123,11A
