name_ar,name_en,email,password
أحمد الخطيب,Ahmad Al-Khatib,ahmad@nour-centre.jo,teacher123
سارة خوري,Sara Khoury,sara@nour-centre.jo,teacher123
محمد النجار,Mohammad Al-Najjar,mohammad@nour-centre.jo,teacher123
لينا المصري,Lina Al-Masri,lina@nour-centre.jo,teacher123
عمر القاسم,Omar Al-Qasim,omar.q@nour-centre.jo,teacher123
رنا السعيد,Rana Al-Saeed,rana@nour-centre.jo,teacher123
زيد التميمي,Zaid Al-Tamimi,zaid@nour-centre.jo,teacher123
مريم حداد,Maryam Haddad,maryam.h@nour-centre.jo,teacher123
خالد العبادي,Khaled Al-Abbadi,khaled@nour-centre.jo,teacher123
منى الروسان,Mona Al-Rousan,mona@nour-centre.jo,teacher123
يوسف دبابنة,Yousef Dabbabneh,yousef.d@nour-centre.jo,teacher123
هدى المجالي,Huda Majali,huda@nour-centre.jo,teacher123
